epoch,loss,val_loss,train_time,time,-1
0.0,0.0028071077540516853,0.0005741645582020283,12.41038966178894,05/03/2021 17:01:26,
1.0,0.0011806974653154612,0.0005203511100262403,1.7645268440246582,05/03/2021 17:01:26,
2.0,0.00098336860537529,0.00037601927760988474,2.4651453495025635,05/03/2021 17:01:26,
3.0,0.0008633990655653179,0.0003562552738003433,1.1277005672454834,05/03/2021 17:01:26,
4.0,0.0007959600770846009,0.0003237343917135149,1.2197747230529785,05/03/2021 17:01:26,
5.0,0.0007271043723449111,0.00030578955193050206,0.6876516342163086,05/03/2021 17:01:26,
6.0,0.0006877091364003718,0.00027997829602099955,1.3404767513275146,05/03/2021 17:01:26,
7.0,0.0006521557806991041,0.00030412900377996266,1.0687177181243896,05/03/2021 17:01:26,
8.0,0.0006288901204243302,0.0002849965530913323,0.8033123016357422,05/03/2021 17:01:26,
9.0,0.0006138351163826883,0.00027199077885597944,0.7756199836730957,05/03/2021 17:01:26,
10.0,0.0005940736155025661,0.00025343679590150714,0.8926854133605957,05/03/2021 17:01:26,
11.0,0.000581784755922854,0.00024685493553988636,0.9981601238250732,05/03/2021 17:01:26,
12.0,0.0005629722727462649,0.00024702961673028767,1.2388827800750732,05/03/2021 17:01:26,
13.0,0.0005541886202991009,0.00023795306333340704,1.5409274101257324,05/03/2021 17:01:26,
14.0,0.0005467103910632432,0.0002430146123515442,1.563988208770752,05/03/2021 17:01:26,
15.0,0.0005359763163141906,0.00023840869835112244,1.006570816040039,05/03/2021 17:01:26,
16.0,0.0005297336610965431,0.00023365073138847947,0.8999578952789307,05/03/2021 17:01:26,
17.0,0.0005283248610794544,0.00023398158373311162,1.2611150741577148,05/03/2021 17:01:26,
18.0,0.0005137014668434858,0.00023573555517941713,2.2314558029174805,05/03/2021 17:01:26,
19.0,0.0005161439767107368,0.0002397531789029017,1.516524076461792,05/03/2021 17:01:26,
20.0,0.0005080582341179252,0.00025740073760971427,2.213219404220581,05/03/2021 17:01:26,
21.0,0.0005206050700508058,0.0002408152213320136,0.9398479461669922,05/03/2021 17:01:26,
22.0,0.0005010238965041935,0.00023800742928870022,0.9622082710266113,05/03/2021 17:01:26,
23.0,0.0004948575515300035,0.00025055513833649457,0.6640529632568359,05/03/2021 17:01:26,
24.0,0.00048649965901859105,0.00025578404893167317,1.0616517066955566,05/03/2021 17:01:26,
25.0,0.00048203286132775247,0.0002398256619926542,1.1242883205413818,05/03/2021 17:01:26,
26.0,0.0004871162527706474,0.00024322551325894892,1.0177555084228516,05/03/2021 17:01:26,
27.0,0.00047445722157135606,0.0003041683812625706,0.9465944766998291,05/03/2021 17:01:26,
28.0,0.00047436682507395744,0.000311712414259091,0.7372992038726807,05/03/2021 17:01:26,
29.0,0.000468986778287217,0.0002656953874975443,0.7855920791625977,05/03/2021 17:01:26,
30.0,0.00046537266462109983,0.00029934203485026956,1.06772780418396,05/03/2021 17:01:26,
31.0,0.0004632760537788272,0.0002689901739358902,1.222893238067627,05/03/2021 17:01:26,
,,,,,49.55671405792236
