,TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
1712,42441.58,3,12,2016,14,2.3604700000000003,143.086,17.3544,0.361111,1012.77,93.23700000000001,25.6606,81.15100000000001,52.208,58.373000000000005
1713,42441.63,3,12,2016,15,2.56637,139.664,17.3527,0.359722,1011.36,74.992,25.8755,80.83800000000001,51.013000000000005,57.81
1714,42441.67,3,12,2016,16,2.64577,147.64,17.2052,0.36059,1010.52,64.721,25.8836,81.747,54.32,60.868
1715,42441.71,3,12,2016,17,2.3656099999999998,165.613,17.3155,0.360243,1010.21,30.6955,25.8302,85.985,56.263000000000005,63.167
1716,42441.75,3,12,2016,18,1.98147,144.346,17.2401,0.358637,1010.27,2.37101,25.7007,84.602,54.137,61.526
1717,42441.79,3,12,2016,19,1.67992,134.486,16.7892,0.35829,1010.83,1.1308200000000002,25.1285,91.679,56.48,65.554
1718,42441.83,3,12,2016,20,1.42794,134.442,16.423,0.36102399999999996,1011.28,1.13568,24.7399,93.476,58.227,67.607
1719,42441.88,3,12,2016,21,1.58245,135.311,16.3819,0.360894,1011.92,1.15087,24.5506,74.931,50.31399999999999,57.364
1720,42441.92,3,12,2016,22,1.7993400000000002,139.773,16.2158,0.359722,1012.1,1.12899,24.3424,60.312,40.0719,45.875
1721,42441.96,3,12,2016,23,2.48374,144.142,16.2977,0.360981,1011.86,1.1739600000000001,24.1677,55.178000000000004,34.3873,40.8627
1722,42442.0,3,13,2016,0,1.83181,141.257,16.0693,0.362196,1011.7,1.1551200000000001,24.213,43.6559,32.2223,35.4484
1723,42442.04,3,13,2016,1,1.34502,137.054,16.0034,0.36072,1011.35,1.14175,24.4777,44.828,35.8557,38.3013
1724,42442.08,3,13,2016,2,1.13455,132.005,16.0176,0.361068,1010.86,1.11684,24.464000000000002,49.4891,36.1359,39.6967
1725,42442.13,3,13,2016,3,1.28977,95.51799999999999,16.0629,0.359766,1010.59,1.15026,24.5389,35.6845,29.8784,31.6672
1726,42442.17,3,13,2016,4,1.02493,94.427,16.0561,0.36128499999999997,1010.5,1.14905,24.5524,34.1511,26.1792,28.4292
1727,42442.21,3,13,2016,5,0.70076,76.689,16.1764,0.35855,1010.74,1.09436,24.5862,32.4973,25.0638,27.2984
1728,42442.25,3,13,2016,6,0.69188,9.5436,15.5114,0.360156,1011.52,1.13689,24.4639,72.351,67.786,69.476
1729,42442.29,3,13,2016,7,0.5862,8.3658,15.1601,0.359635,1012.4,2.94583,23.7358,68.067,64.255,65.938
1730,42442.33,3,13,2016,8,0.69588,9.9427,15.2686,0.359462,1013.31,35.3172,23.4006,78.141,65.664,69.3
1731,42442.38,3,13,2016,9,0.69929,20.2489,15.9491,0.36128499999999997,1014.27,81.98299999999999,23.5664,113.824,85.837,94.214
1732,42442.42,3,13,2016,10,0.67687,20.8752,16.7346,0.3602,1014.79,146.768,24.0686,105.34700000000001,82.28,89.73100000000001
