,TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
9583,42770.67,2,4,2017,16,0.397945,57.496,25.8253,0.360286,1010.61,307.809,29.8344,20.8997,16.546,17.705
9584,42770.71,2,4,2017,17,0.82132,135.593,25.1646,0.357682,1010.64,60.907,29.2806,19.6624,16.9321,17.5789
9585,42770.75,2,4,2017,18,0.6745899999999999,143.40200000000002,24.6667,0.35742199999999996,1010.98,9.3023,28.6696,23.5467,19.3853,20.3587
9586,42770.79,2,4,2017,19,0.61729,147.19799999999998,23.0762,0.357639,1011.68,1.0876700000000001,27.5713,30.9666,26.8807,27.9301
9587,42770.83,2,4,2017,20,0.75133,161.92600000000002,22.3602,0.359852,1012.39,1.09436,27.7947,30.5882,27.0184,28.0566
9588,42770.88,2,4,2017,21,0.9529799999999999,169.56599999999997,21.941,0.36046,1012.69,1.07856,28.1413,40.97,35.6817,37.3383
9589,42770.92,2,4,2017,22,1.54515,150.216,21.5936,0.35816,1013.01,1.0955700000000002,28.5275,42.08,36.0717,37.8383
9590,42770.96,2,4,2017,23,2.4287900000000002,147.791,21.1066,0.35816,1013.16,1.09375,28.5822,22.5381,21.2349,21.7746
9591,42771.0,2,5,2017,0,2.14798,150.62,20.6024,0.358941,1013.18,1.1150200000000001,28.186999999999998,20.6833,19.7117,20.155
9592,42771.04,2,5,2017,1,2.0867,144.43,20.3373,0.36006900000000003,1013.08,1.09922,26.7484,20.4836,19.692,20.1562
9593,42771.08,2,5,2017,2,2.02778,136.124,20.1995,0.36033000000000004,1012.73,1.06944,26.2942,18.078,17.5098,17.8371
9594,42771.13,2,5,2017,3,2.41826,137.59,20.1501,0.359809,1012.62,1.0901,26.2163,15.9635,15.4685,15.806
9595,42771.17,2,5,2017,4,1.71822,141.059,19.9916,0.358767,1012.66,1.0895,26.0539,20.2398,19.8395,20.0876
9596,42771.21,2,5,2017,5,1.45021,100.81,19.8273,0.359245,1012.87,1.06762,25.9673,24.0442,23.2515,23.6699
9597,42771.25,2,5,2017,6,1.06707,129.612,19.8447,0.360026,1013.48,1.0979999999999999,26.0212,30.84,28.6267,29.5308
9598,42771.29,2,5,2017,7,1.36584,150.118,19.9974,0.35967899999999997,1014.21,1.08281,26.6655,36.3496,33.2949,34.2757
9599,42771.33,2,5,2017,8,1.7365700000000002,156.459,20.0713,0.359722,1014.59,23.3376,27.1619,36.0075,32.1317,33.0992
9600,42771.38,2,5,2017,9,1.70135,155.68,20.468,0.359375,1015.36,52.625,27.6214,34.3808,29.5894,30.9654
9601,42771.42,2,5,2017,10,2.25382,167.11599999999999,20.7934,0.361762,1016.02,73.135,28.0569,34.9367,30.505,31.6408
9602,42771.46,2,5,2017,11,2.50412,163.928,21.4045,0.361111,1015.64,170.826,28.456,36.0423,31.2115,32.3615
9603,42771.5,2,5,2017,12,2.45547,162.024,22.0708,0.36137199999999997,1014.63,276.067,28.813000000000002,35.17,29.645,30.838
9604,42771.54,2,5,2017,13,2.91317,160.93,23.1352,0.362587,1012.87,441.481,29.0492,27.7887,23.6387,24.9591
9605,42771.58,2,5,2017,14,2.73054,159.047,24.0861,0.361198,1011.38,439.744,29.1952,24.4942,20.6312,21.541999999999998
9606,42771.63,2,5,2017,15,2.1959299999999997,153.606,24.6507,0.35933200000000004,1010.46,308.778,29.4701,30.8545,23.3318,23.6773
9607,42771.67,2,5,2017,16,1.62038,139.613,24.9564,0.358984,1010.03,229.843,29.5106,30.861,23.5055,24.695
9608,42771.71,2,5,2017,17,2.23125,130.597,24.4301,0.359809,1009.95,99.551,29.2541,25.4833,22.25,23.0833
9609,42771.75,2,5,2017,18,2.18133,136.275,23.5974,0.358464,1010.06,12.9986,28.3559,30.5243,24.3243,25.6114
9610,42771.79,2,5,2017,19,1.38206,130.605,22.828000000000003,0.359939,1010.5,1.10408,27.7347,34.9878,28.978,30.6439
9611,42771.83,2,5,2017,20,2.99689,142.033,22.2983,0.360981,1010.97,1.1144100000000001,27.8944,24.2064,20.8692,21.6359
9612,42771.88,2,5,2017,21,2.8364599999999998,143.377,21.7415,0.361849,1011.43,1.12352,27.8754,22.8333,20.7333,21.5167
9613,42771.92,2,5,2017,22,2.31013,138.205,21.4391,0.35646700000000003,1011.39,1.09497,28.389,24.85,22.3788,23.397
9614,42771.96,2,5,2017,23,2.0009900000000003,117.12100000000001,21.0122,0.360503,1011.38,1.11988,28.1374,21.6732,19.4446,20.1661
9615,42772.0,2,6,2017,0,1.87601,127.86399999999999,20.2432,0.358854,1011.65,1.11806,27.819000000000003,18.706,17.5284,18.1284
9616,42772.04,2,6,2017,1,1.98265,125.154,19.8965,0.359028,1011.79,1.0876700000000001,26.5857,16.0544,15.6254,15.9307
9617,42772.08,2,6,2017,2,2.22091,134.121,19.7523,0.361806,1011.41,1.12474,26.2064,15.9241,15.0898,15.5686
9618,42772.13,2,6,2017,3,1.83425,140.394,19.6708,0.359896,1011.03,1.12352,26.0431,16.5456,15.3901,15.802999999999999
9619,42772.17,2,6,2017,4,1.75475,140.30700000000002,19.6743,0.35941799999999996,1010.97,1.1077299999999999,26.0143,21.1627,19.4182,19.9155
9620,42772.21,2,6,2017,5,1.8948599999999998,145.113,19.4722,0.35772600000000004,1011.17,1.08889,25.9137,21.6553,21.0508,21.3684
9621,42772.25,2,6,2017,6,2.37852,135.363,19.4438,0.359852,1011.64,1.12535,25.9818,22.9487,21.9503,22.4764
9622,42772.29,2,6,2017,7,2.5103299999999997,135.486,19.5272,0.359115,1012.36,1.10955,26.574,29.5028,26.5343,27.438000000000002
9623,42772.33,2,6,2017,8,2.10308,137.03,19.7449,0.360373,1013.05,19.1643,26.9648,34.31,29.3183,30.6283
9624,42772.38,2,6,2017,9,2.1837,134.42600000000002,20.2131,0.36245700000000003,1013.95,73.532,27.4634,36.8529,29.2192,30.8279
9625,42772.42,2,6,2017,10,2.68701,135.726,20.5854,0.360417,1014.55,133.328,27.956,36.1031,28.7735,30.1698
9626,42772.46,2,6,2017,11,2.48584,135.414,21.2796,0.360156,1014.24,217.87400000000002,28.4773,31.5387,26.0871,27.229
9627,42772.5,2,6,2017,12,3.14283,140.843,22.1804,0.361892,1013.42,354.07199999999995,28.9533,26.6453,21.4878,22.5693
9628,42772.54,2,6,2017,13,3.42938,142.618,23.0921,0.36275999999999997,1011.78,452.755,29.055999999999997,25.3408,19.1401,20.0972
9629,42772.58,2,6,2017,14,3.15898,138.993,22.7169,0.361198,1010.48,159.76,29.2021,22.41,18.9233,19.72
9630,42772.63,2,6,2017,15,3.20897,135.41,22.9249,0.36137199999999997,1009.36,210.887,29.0923,22.075,17.845,19.055
9631,42772.67,2,6,2017,16,3.81206,137.303,22.9042,0.35967899999999997,1008.74,112.09700000000001,29.0145,25.44,21.3783,22.4
