,TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
8253,42714.92,12,10,2016,22,1.62535,163.061,20.9741,0.35803,1014.64,1.11563,28.4165,93.15299999999999,79.054,112.242
8254,42714.96,12,10,2016,23,1.73065,162.864,20.5246,0.361068,1014.84,1.1150200000000001,28.2359,88.874,76.857,81.541
8255,42715.0,12,11,2016,0,1.44459,164.865,20.153,0.361198,1014.93,1.11137,27.9635,85.23,74.189,78.71
8256,42715.04,12,11,2016,1,1.07312,173.46400000000003,19.8631,0.361415,1014.9,1.09922,26.7334,83.00200000000001,73.557,78.13
8257,42715.08,12,11,2016,2,0.62573,184.84400000000002,19.5997,0.358724,1014.6,1.09375,26.4345,80.476,70.658,74.744
8258,42715.13,12,11,2016,3,0.58978,16.6116,19.2793,0.359245,1014.03,1.0730899999999999,26.261,82.615,72.78399999999999,76.719
8259,42715.17,12,11,2016,4,0.56653,16.6156,18.5595,0.359288,1013.75,1.0633700000000001,26.148000000000003,186.815,174.084,179.55599999999998
8260,42715.21,12,11,2016,5,0.62003,2.39859,18.1901,0.360243,1013.79,1.05243,26.0111,155.359,146.285,150.653
8261,42715.25,12,11,2016,6,0.90128,9.5634,17.8961,0.36236999999999997,1014.19,1.0797700000000001,26.0382,148.065,139.484,143.944
8262,42715.29,12,11,2016,7,0.59453,19.7272,17.4941,0.35742199999999996,1014.6,4.5105,26.27,125.977,118.96799999999999,122.419
8263,42715.33,12,11,2016,8,0.62434,13.7466,17.9553,0.363585,1015.22,100.34299999999999,26.5413,137.088,123.919,128.387
8264,42715.38,12,11,2016,9,0.73019,353.61199999999997,19.1225,0.3625,1015.63,258.527,26.9856,129.167,118.637,123.075
8265,42715.42,12,11,2016,10,0.67035,325.971,20.5769,0.36441,1015.78,397.009,27.6571,106.133,94.416,98.696
8266,42715.46,12,11,2016,11,0.99382,304.20799999999997,22.1037,0.362847,1015.17,467.82300000000004,28.4847,90.00200000000001,77.783,81.658
8267,42715.5,12,11,2016,12,0.139959,223.81400000000002,23.5737,0.360547,1014.03,446.74699999999996,29.1147,76.742,63.628,67.34899999999999
