epoch,loss,val_loss,train_time,time
0,0.10407039348163831,0.005091853439807892,13.130975723266602,09/11/2020 21:31:25
1,0.043752998732875706,0.020638981834053993,0.23099231719970703,09/11/2020 21:31:25
2,0.032555433860083055,0.0485009104013443,0.2200000286102295,09/11/2020 21:31:25
3,0.03962811557354902,0.028750918805599213,0.2149982452392578,09/11/2020 21:31:25
4,0.02939029872456767,0.009964751079678535,0.21500086784362793,09/11/2020 21:31:25
5,0.024242452009136255,0.003619320224970579,0.476635217666626,09/11/2020 21:31:25
6,0.02568457027931641,0.003025634214282036,0.5464236736297607,09/11/2020 21:31:25
7,0.026624425513409374,0.0030035963281989098,0.31638026237487793,09/11/2020 21:31:25
8,0.02474740250306425,0.003195393830537796,0.2449946403503418,09/11/2020 21:31:25
9,0.022567832798237538,0.004764227662235498,0.2129993438720703,09/11/2020 21:31:25
10,0.022199709848119906,0.006890167947858572,0.20299983024597168,09/11/2020 21:31:25
11,0.022977513239023552,0.007184850983321667,0.19800066947937012,09/11/2020 21:31:25
12,0.02256071963163196,0.005403535906225443,0.1790010929107666,09/11/2020 21:31:25
13,0.021284433278331343,0.003769622417166829,0.17599916458129883,09/11/2020 21:31:25
14,0.02072583671688719,0.003032056149095297,0.19099998474121094,09/11/2020 21:31:25
15,0.020906535412202096,0.0028872438706457615,0.34764909744262695,09/11/2020 21:31:25
16,0.0209675239286039,0.0029121809639036655,0.20699715614318848,09/11/2020 21:31:25
17,0.020554685852143883,0.0031778623815625906,0.19099974632263184,09/11/2020 21:31:25
18,0.020044993383116962,0.003819811623543501,0.18000197410583496,09/11/2020 21:31:25
19,0.019745077652792816,0.00454538781195879,0.21100115776062012,09/11/2020 21:31:25
20,0.019757096417307225,0.004895395133644342,0.21500110626220703,09/11/2020 21:31:25
21,0.019597397075282866,0.004559938795864582,0.2079935073852539,09/11/2020 21:31:25
22,0.019277254846880806,0.0040131257846951485,0.23100042343139648,09/11/2020 21:31:25
23,0.01898982472186982,0.003428269876167178,0.1999988555908203,09/11/2020 21:31:25
24,0.018814255594027704,0.003160301363095641,0.17999935150146484,09/11/2020 21:31:25
25,0.018706439751001336,0.003088360885158181,0.16800189018249512,09/11/2020 21:31:25
