epoch,loss,val_loss,train_time,time,-1
0.0,0.002442345255985856,0.0005670113023370504,3.864863872528076,11/02/2021 10:30:31,
1.0,0.0010608426528051496,0.0005088304169476032,0.6288118362426758,11/02/2021 10:30:31,
2.0,0.0008816233021207154,0.00030367946601472795,0.658381462097168,11/02/2021 10:30:31,
3.0,0.0007528972928412259,0.00027158335433341563,0.6529035568237305,11/02/2021 10:30:31,
4.0,0.0006741218385286629,0.00031839770963415504,0.6536962985992432,11/02/2021 10:30:31,
5.0,0.0006266910932026803,0.0003424909373279661,0.6512892246246338,11/02/2021 10:30:31,
6.0,0.000591183197684586,0.00022233904746826738,0.6572730541229248,11/02/2021 10:30:31,
7.0,0.0005700032925233245,0.0002436139911878854,0.6255960464477539,11/02/2021 10:30:31,
8.0,0.0005569349159486592,0.0002797716879285872,0.6603264808654785,11/02/2021 10:30:31,
9.0,0.0005664007039740682,0.00022300489945337176,0.6398277282714844,11/02/2021 10:30:31,
10.0,0.0005314224399626255,0.00020694076374638826,0.6592602729797363,11/02/2021 10:30:31,
11.0,0.0005317606264725327,0.00020764025975950062,0.6264183521270752,11/02/2021 10:30:31,
12.0,0.0005359078641049564,0.0002930204791482538,0.6413707733154297,11/02/2021 10:30:31,
13.0,0.0005235984572209418,0.00022157176863402128,0.6411635875701904,11/02/2021 10:30:31,
14.0,0.0005102881696075201,0.0003514804120641202,0.6388125419616699,11/02/2021 10:30:31,
15.0,0.0005158192361705005,0.00024240616767201573,0.6339893341064453,11/02/2021 10:30:31,
16.0,0.0005135906976647675,0.00021975925483275205,0.6121275424957275,11/02/2021 10:30:31,
17.0,0.0005109181511215866,0.00020966824376955628,0.6284980773925781,11/02/2021 10:30:31,
18.0,0.0005013002082705498,0.00020968125318177044,0.631782054901123,11/02/2021 10:30:31,
19.0,0.000508722965605557,0.000218756846152246,0.6521174907684326,11/02/2021 10:30:31,
20.0,0.0005143892485648394,0.00023257971042767167,0.635242223739624,11/02/2021 10:30:31,
,,,,,16.6937518119812
