epoch,loss,val_loss,train_time,time,-1
0.0,0.002046682871878147,0.0004903897643089294,525.1173286437988,18/10/2021 17:01:48,
1.0,0.001222713035531342,0.0006150545086711645,1.1143569946289062,18/10/2021 17:01:48,
2.0,0.001061559421941638,0.00034353233058936894,0.9935367107391357,18/10/2021 17:01:48,
3.0,0.0008924215217120945,0.0003259463992435485,1.3488121032714844,18/10/2021 17:01:48,
4.0,0.0007904662052169442,0.00034599739592522383,1.3177781105041504,18/10/2021 17:01:48,
5.0,0.0007481225184164941,0.00029655260732397437,1.3924157619476318,18/10/2021 17:01:48,
6.0,0.0007093428284861147,0.000293865567073226,1.3130748271942139,18/10/2021 17:01:48,
7.0,0.000683011079672724,0.0002791827719192952,1.3149518966674805,18/10/2021 17:01:48,
8.0,0.0006547322846017778,0.0003893334069289267,1.3151390552520752,18/10/2021 17:01:48,
9.0,0.0006470379885286093,0.0002646881330292672,1.194066047668457,18/10/2021 17:01:48,
10.0,0.0006299870437942445,0.0003222688101232052,1.0392358303070068,18/10/2021 17:01:48,
11.0,0.000599531689658761,0.00023786671226844192,1.0908286571502686,18/10/2021 17:01:48,
12.0,0.0005856750067323446,0.00025490723783150315,1.104727029800415,18/10/2021 17:01:48,
13.0,0.000582305365242064,0.00032325126812793314,1.0802295207977295,18/10/2021 17:01:48,
14.0,0.0005852975300513208,0.00023494010383728892,1.162553071975708,18/10/2021 17:01:48,
15.0,0.0005632129032164812,0.00024594462593086064,1.0914373397827148,18/10/2021 17:01:48,
16.0,0.0005584745085798204,0.00025106596876867115,1.097991704940796,18/10/2021 17:01:48,
17.0,0.0005487785674631596,0.0002512546197976917,0.8530197143554688,18/10/2021 17:01:48,
18.0,0.000550849421415478,0.00031315881642512977,0.8459079265594482,18/10/2021 17:01:48,
19.0,0.0005522152059711516,0.0002502066781744361,0.8664028644561768,18/10/2021 17:01:48,
20.0,0.0005442836554720998,0.00029557422385551035,0.8219053745269775,18/10/2021 17:01:48,
21.0,0.0005302156205289066,0.00028052733978256583,0.8389637470245361,18/10/2021 17:01:48,
22.0,0.0005299848271533847,0.00029256008565425873,0.8318336009979248,18/10/2021 17:01:48,
23.0,0.0005321408971212804,0.0003251201123930514,0.8891692161560059,18/10/2021 17:01:48,
24.0,0.0005258237360976636,0.00024305387341883034,0.8633966445922852,18/10/2021 17:01:48,
25.0,0.0005248113302513957,0.0002516209497116506,0.8411593437194824,18/10/2021 17:01:48,
26.0,0.000519465422257781,0.00028538581682369113,0.8643124103546143,18/10/2021 17:01:48,
27.0,0.0005122644361108541,0.000325532048009336,0.8064846992492676,18/10/2021 17:01:48,
28.0,0.0005076990346424282,0.0002473394270054996,0.6206855773925781,18/10/2021 17:01:48,
29.0,0.0005047955783084035,0.00032670170185156167,0.6625444889068604,18/10/2021 17:01:48,
,,,,,554.6942489147186
